event,layer,phi,tbin,adc,zelem,x,y,z,plot_x,plot_y,plot_z
6,7,-2.76003,350,44.0261,0,-29.1238,-11.6851,42.9,350,-6.4966,-2.60657
6,7,-2.76003,351,104.633,0,-29.1238,-11.6851,43.324,351,-6.4966,-2.60657
6,7,-2.76003,352,35.0002,0,-29.1238,-11.6851,43.748,352,-6.4966,-2.60657
6,7,-2.76003,353,31.2194,0,-29.1238,-11.6851,44.172,353,-6.4966,-2.60657
6,7,-2.76003,354,14.357,0,-29.1238,-11.6851,44.596,354,-6.4966,-2.60657
6,7,-2.75446,8,12,0,-29.0582,-11.8471,-102.108,8,-6.48198,-2.64272
6,7,-2.75446,9,127.166,0,-29.0582,-11.8471,-101.684,9,-6.48198,-2.64272
6,7,-2.75446,10,299.908,0,-29.0582,-11.8471,-101.26,10,-6.48198,-2.64272
6,7,-2.75446,11,118.814,0,-29.0582,-11.8471,-100.836,11,-6.48198,-2.64272
6,7,-2.75446,12,16.6878,0,-29.0582,-11.8471,-100.412,12,-6.48198,-2.64272
6,7,-2.75446,161,95,0,-29.0582,-11.8471,-37.236,161,-6.48198,-2.64272
6,7,-2.75446,162,211.318,0,-29.0582,-11.8471,-36.812,162,-6.48198,-2.64272
6,7,-2.75446,163,50.0732,0,-29.0582,-11.8471,-36.388,163,-6.48198,-2.64272
6,7,-2.75446,350,27,0,-29.0582,-11.8471,42.9,350,-6.48198,-2.64272
6,7,-2.75446,351,40.3745,0,-29.0582,-11.8471,43.324,351,-6.48198,-2.64272
6,7,-2.75446,352,33.8846,0,-29.0582,-11.8471,43.748,352,-6.48198,-2.64272
6,7,-2.75446,353,110.237,0,-29.0582,-11.8471,44.172,353,-6.48198,-2.64272
6,7,-2.75446,354,38.6012,0,-29.0582,-11.8471,44.596,354,-6.48198,-2.64272
6,7,-2.75446,900,36.0139,0,-29.0582,-11.8471,276.1,900,-6.48198,-2.64272
6,7,-2.75446,901,58.5115,0,-29.0582,-11.8471,276.524,901,-6.48198,-2.64272
6,7,-2.75446,902,11.255,0,-29.0582,-11.8471,276.948,902,-6.48198,-2.64272
6,7,-2.74889,8,90,0,-28.9918,-12.0088,-102.108,8,-6.46716,-2.67878
6,7,-2.74889,9,440.248,0,-28.9918,-12.0088,-101.684,9,-6.46716,-2.67878
6,7,-2.74889,10,371.188,0,-28.9918,-12.0088,-101.26,10,-6.46716,-2.67878
6,7,-2.74889,11,87.3799,0,-28.9918,-12.0088,-100.836,11,-6.46716,-2.67878
6,7,-2.74889,12,38.0769,0,-28.9918,-12.0088,-100.412,12,-6.46716,-2.67878
6,7,-2.74889,13,25.1305,0,-28.9918,-12.0088,-99.988,13,-6.46716,-2.67878
6,7,-2.74889,14,11.1304,0,-28.9918,-12.0088,-99.564,14,-6.46716,-2.67878
6,7,-2.74889,161,61.0277,0,-28.9918,-12.0088,-37.236,161,-6.46716,-2.67878
6,7,-2.74889,162,181.87,0,-28.9918,-12.0088,-36.812,162,-6.46716,-2.67878
6,7,-2.74889,163,44.2772,0,-28.9918,-12.0088,-36.388,163,-6.46716,-2.67878
6,7,-2.74889,352,107.083,0,-28.9918,-12.0088,43.748,352,-6.46716,-2.67878
6,7,-2.74889,353,188.557,0,-28.9918,-12.0088,44.172,353,-6.46716,-2.67878
6,7,-2.74889,354,39.9652,0,-28.9918,-12.0088,44.596,354,-6.46716,-2.67878
6,7,-2.74889,900,152.055,0,-28.9918,-12.0088,276.1,900,-6.46716,-2.67878
6,7,-2.74889,901,229.157,0,-28.9918,-12.0088,276.524,901,-6.46716,-2.67878
6,7,-2.74889,902,44.0484,0,-28.9918,-12.0088,276.948,902,-6.46716,-2.67878
6,7,-2.74332,8,21.9795,0,-28.9245,-12.1701,-102.108,8,-6.45214,-2.71476
6,7,-2.74332,9,65.2871,0,-28.9245,-12.1701,-101.684,9,-6.45214,-2.71476
6,7,-2.74332,10,26.1544,0,-28.9245,-12.1701,-101.26,10,-6.45214,-2.71476
6,7,-2.74332,11,51.3635,0,-28.9245,-12.1701,-100.836,11,-6.45214,-2.71476
6,7,-2.74332,12,144.894,0,-28.9245,-12.1701,-100.412,12,-6.45214,-2.71476
6,7,-2.74332,13,76.6519,0,-28.9245,-12.1701,-99.988,13,-6.45214,-2.71476
6,7,-2.74332,14,11.2289,0,-28.9245,-12.1701,-99.564,14,-6.45214,-2.71476
6,7,-2.74332,161,29,0,-28.9245,-12.1701,-37.236,161,-6.45214,-2.71476
6,7,-2.74332,162,57.4022,0,-28.9245,-12.1701,-36.812,162,-6.45214,-2.71476
6,7,-2.74332,163,11.1449,0,-28.9245,-12.1701,-36.388,163,-6.45214,-2.71476
6,7,-2.74332,351,19.0017,0,-28.9245,-12.1701,43.324,351,-6.45214,-2.71476
6,7,-2.74332,352,146.265,0,-28.9245,-12.1701,43.748,352,-6.45214,-2.71476
6,7,-2.74332,353,108.258,0,-28.9245,-12.1701,44.172,353,-6.45214,-2.71476
6,7,-2.74332,354,15.4593,0,-28.9245,-12.1701,44.596,354,-6.45214,-2.71476
6,7,-2.74332,900,148.055,0,-28.9245,-12.1701,276.1,900,-6.45214,-2.71476
